file_name,text
frases/image1.JPEG,Preparar o plano de monitoria para Computação 2.
frases/image2.JPEG,A formiga kika puxou o xarope do vidro rosa.
frases/image3.JPEG,Vejo xaxim e zíper no quintal do banco.
frases/image4.JPEG,O juiz exímio quebrou o copo de vidro no chão.
frases/image5.JPEG,Blitz prende ex-vesgo com cheque fajuto.
frases/image6.JPEG,Gazeta publica hoje breve nota de faxina na casa.
frases/image7.JPEG,Um pequeno jabuti xeta viu dez cegonhas felizes.
frases/image8.JPEG,Um café bem forte resolve qualquer manhã ruim.
frases/image9.JPEG,"Guarde esse documento em um local seguro, ok?"
frases/image10.JPEG,O trânsito estava horrível na avenida principal.
frases/image11.JPEG,Ela toca violão desde os doze anos de idade.
frases/image12.JPEG,Revisão de teoria dos grafos e lógica proposicional.
frases/image13.JPEG,Trouxe um pouco de pão e geleia.
frases/image14.JPEG,A internet caiu bem na hora da videochamada.
frases/image15.JPEG,Passei o dia inteiro organizando a estante.
frases/image16.JPEG,Aquele filme me fez chorar do início ao fim.
frases/image17.JPEG,O médico pediu um exame de sangue urgente.
frases/image18.JPEG,Escrevi meu nome e telefone no verso do papel.
frases/image19.JPEG,A janela ficou aberta a noite toda. Que frio!
frases/image20.JPEG,Ainda não sei se vou viajar nas férias.
frases/image21.JPEG,O time perdeu de 2 a 1 no último minuto.
frases/image22.JPEG,Você pode me emprestar a chave de fenda?
frases/image23.JPEG,A máquina de Turing é um modelo matemático.
frases/image24.JPEG,Minha avó faz o melhor bolo de fubá do bairro.
frases/image25.JPEG,O computador travou logo depois de ligar.
frases/image26.JPEG,Fizemos uma trilha até a cachoeira ontem cedo.
frases/image27.JPEG,Qual é a capital da alemanha mesmo?
frases/image28.JPEG,A criança riu alto ao ver o palhaço colorido.
frases/image29.JPEG,Ele correu cinco quilômetros antes do café.
frases/image30.JPEG,"O açúcar acabou, preciso comprar mais."
frases/image31.JPEG,Feliz aniversário! Que esse ano seja incrível!
frases/image32.JPEG,Ninguém sabia explicar o barulho estranho.
frases/image33.JPEG,Aquele jardim tem flores de todas as cores.
frases/image34.JPEG,Acesso negado ao tentar conexão SSH na porta 22.
frases/image35.JPEG,A reunião foi marcada para as 14h na sala 2.
frases/image36.JPEG,Preciso terminar o relatório até sexta feira.
frases/image37.JPEG,O gato pulou o muro e sumiu na escuridão.
frases/image38.JPEG,Quantos anos você tem? Eu tenho vinte e nove.
frases/image39.JPEG,Não esqueça de trazer o guarda-chuva amanhã.
frases/image40.JPEG,Ela escreveu uma carta longa para o avô querido.
frases/image41.JPEG,O ônibus das 7h45 atrasou vinte minutos.
frases/image42.JPEG,Comprei 3 quilos de maçã e 2 litros de leite.
frases/image43.JPEG,"A pizza chegou fria, mas ainda estava deliciosa!"
frases/image44.JPEG,Você já visitou aquele museu de arte moderna?
frases/image45.JPEG,O container Docker falhou ao iniciar no server.
frases/image46.JPEG,Ontem à noite choveu muito forte na cidade
frases/image47.JPEG,Preciso configurar o arquivo YAML para rotinas.
frases/image48.JPEG,O runner dev228 executou o pipeline de CI/CD.
frases/image49.JPEG,Testando rotas do backend em Ruby on Rails.
frases/image50.JPEG,A API construída em FastAPI respondeu com status 200 OK.
frases/image51.JPEG,Escrevi um bilhete rápido antes de sair correndo.
frases/image52.JPEG,"Ele nasceu em Recife, mas cresceu em Curitiba."
frases/image53.JPEG,A vizinha bateu na porta pedindo açúcar.
frases/image54.JPEG,Quantas vezes preciso repetir a mesma coisa?
frases/image55.JPEG,"Comprei sapatos novos, os antigos já furaram."
frases/image56.JPEG,O wifi caiu bem na hora da reunião importante.
frases/image57.JPEG,Vamos revisar o contrato antes de assinar.
frases/image58.JPEG,Ela pintou a área da varanda de azul claro.
frases/image59.JPEG,O jornal de hoje trouxe uma notícia curiosa.
frases/image60.JPEG,Fui ao mercado e esqueci a lista em casa.
frases/image61.JPEG,A xícara de porcelana quebrou ao cair no chão.
frases/image62.JPEG,Ele estudou a semana toda para a prova final.
frases/image63.JPEG,Não sei explicar por que fiquei tão nervoso.
frases/image64.JPEG,O sinal ficou vermelho bem na minha frente.
frases/image65.JPEG,Aquele restaurante japonês é surpreendentemente bom.
frases/image66.JPEG,Deixei as chaves em cima da mesa da cozinha.
frases/image67.JPEG,Ela ganhou um buquê de flores no aniversário.
frases/image68.JPEG,O voo atrasou quase duas horas no aeroporto.
frases/image69.JPEG,Vamos combinar os detalhes por telefone hoje.
frases/image70.JPEG,Esse café da manhã ficou show de bola.
frases/image71.JPEG,A câmera nova chegou quebrada dentro da caixa.
frases/image72.JPEG,Troquei o pneu sozinho pela primeira vez.
frases/image73.JPEG,"O bebê dormiu a noite inteira, que alívio!"
frases/image74.JPEG,É proibido estacionar em frente ao portão.
frases/image75.JPEG,Ninguém respondeu às minhas mensagens ainda.
frases/image76.JPEG,O relógio parou de funcionar sem explicação.
frases/image77.JPEG,Minha irmã mora em Nova York desde 2019.
frases/image78.JPEG,Comprei um pacote de 500g de café especial.
frases/image79.JPEG,A padaria da esquina fecha às 20h em ponto.
frases/image80.JPEG,"Você trouxe o carregador do notebook, né?"
frases/image81.JPEG,Aquele hobby ocupa todo o meu fim de semana.
frases/image82.JPEG,Ele ficou em 3º lugar na corrida de domingo.
frases/image83.JPEG,Fizemos um workshop sobre design na sexta.
frases/image84.JPEG,Marquei a consulta para as 9h da manhã.
frases/image85.JPEG,"""Não desista"", ela disse baixinho ao filho."
frases/image86.JPEG,A conta de luz subiu muito este mês.
frases/image87.JPEG,Ele comprou um kit de ferramentas novo.
frases/image88.JPEG,"O produto custa 49,90 reais na promoção."
frases/image89.JPEG,Nasci no dia 15 de março de 1998.
frases/image90.JPEG,Será que vai chover amanhã à tarde?
frases/image91.JPEG,Minecraft possui uma ótima trilha sonora.
frases/image92.JPEG,Super Mario Bros é um jogo implacável e lendário.
frases/image93.JPEG,Desenvolver campanhas RPG divertidas.
frases/image94.JPEG,O enigma do terminal requer descriptografia.
frases/image95.JPEG,Nightcity é uma metrópole cyberpunk conturbada.
frases/image96.JPEG,Zagreus tenta escapar do submundo repetidas vezes.
frases/image97.JPEG,Os sobreviventes da Vault viraram ghouls.
frases/image98.JPEG,Criando um script em Luau para mover objetos.
frases/image99.JPEG,Estudante do sétimo período na UFRJ do CCMN.
frases/image100.JPEG,O algoritmo de busca em profundidade é rápido.
